category,file_path,import_name,package,record_type,symbol_name,symbol_type,top_module,parse_status,reason
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/image_stream.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/image_stream.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/module_client.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing.py,rich,openai,import,,,rich,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_stream.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_stream.py,rich,openai,import,,,rich,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_stream.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_stream.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,enum,openai,import,,,enum,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,rich,openai,import,,,rich,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools_stream.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools_stream.py,rich,openai,import,,,rich,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools_stream.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools_stream.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/parsing_tools_stream.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/picture.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/responses_input_tokens.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/responses_input_tokens.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/responses_input_tokens.py,openai.types.responses.tool_param,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/responses_input_tokens.py,openai.types.responses.response_input_item_param,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/speech_to_text.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/speech_to_text.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/speech_to_text.py,openai.helpers,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/streaming.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/streaming.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/text_to_speech.py,time,openai,import,,,time,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/text_to_speech.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/text_to_speech.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/text_to_speech.py,openai.helpers,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/uploads.py,sys,openai,import,,,sys,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/uploads.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/uploads.py,rich,openai,import,,,rich,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/uploads.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/video.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/video.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,os,openai,import,,,os,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,logging,openai,import,,,logging,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,pytest_asyncio,openai,import,,,pytest_asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/conftest.py,_pytest.fixtures,openai,import,,,_pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,json,openai,import,,,json,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,respx,openai,import,,,respx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,respx.models,openai,import,,,respx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,inline_snapshot,openai,import,,,inline_snapshot,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_auth.py,openai.auth._workload,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,gc,openai,import,,,gc,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,os,openai,import,,,os,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,sys,openai,import,,,sys,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,json,openai,import,,,json,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,inspect,openai,import,,,inspect,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,dataclasses,openai,import,,,dataclasses,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,tracemalloc,openai,import,,,tracemalloc,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,unittest,openai,import,,,unittest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,typing_extensions,openai,import,,,typing_extensions,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,respx,openai,import,,,respx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,respx.models,openai,import,,,respx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai.auth,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._types,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._models,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._streaming,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._exceptions,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,openai._base_client,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_client.py,utils,openai,import,,,utils,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_extract_files.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_extract_files.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_extract_files.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_extract_files.py,openai._types,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_extract_files.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,anyio,openai,import,,,anyio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,dirty_equals,openai,import,,,dirty_equals,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,openai._files,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_files.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,json,openai,import,,,json,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,typing_extensions,openai,import,,,typing_extensions,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,openai._streaming,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,openai._base_client,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,openai._legacy_response,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_legacy_response.py,utils,openai,import,,,utils,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,json,openai,import,,,json,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,datetime,openai,import,,,datetime,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,collections,openai,import,,,collections,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,typing_extensions,openai,import,,,typing_extensions,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,openai._compat,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_models.py,openai._models,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,os,openai,import,,,os,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,contextlib,openai,import,,,contextlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,openai.lib.azure,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_module_client.py,openai.lib.bedrock,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_qs.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_qs.py,functools,openai,import,,,functools,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_qs.py,urllib.parse,openai,import,,,urllib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_qs.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_qs.py,openai._qs,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_required_args.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_required_args.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_required_args.py,openai._utils,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,json,openai,import,,,json,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,typing_extensions,openai,import,,,typing_extensions,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,pydantic,openai,import,,,pydantic,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,openai._response,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,openai._streaming,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,openai._base_client,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_response.py,utils,openai,import,,,utils,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_send_queue.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_send_queue.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_send_queue.py,openai._exceptions,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_send_queue.py,openai._send_queue,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,httpx,openai,import,,,httpx,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,pytest,openai,import,,,pytest,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_streaming.py,openai._streaming,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,__future__,openai,import,,,__future__,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,io,openai,import,,,io,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,typing,openai,import,,,typing,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,datetime,openai,import,,,datetime,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,typing_extensions,openai,import,,,typing_extensions,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/tests/test_transform.py,pytest,openai,import,,,pytest,,
